macro,logical_key,value,source
ValOAMAEIoUTwentyDeletion,OAMAEIoUTwentyDeletion,0.291,benchmark_main_summary.csv
ValOAMAEIoUTwentyFive,OAMAEIoUTwentyFive,0.316,benchmark_main_summary.csv
ValOAMAELatencyMean,OAMAELatencyMean,28.1,benchmark_compute.csv
ValOAMAELatencyPNineFive,OAMAELatencyP95,35.9,benchmark_compute.csv
ValOAMAEModelSize,OAMAEModelSize,119,benchmark_compute.csv
ValOAMAEParams,OAMAEParams,29.8,benchmark_compute.csv
ValOAMAEPretrainHours,OAMAEPretrainHours,96.0,benchmark_compute.csv
ValOAMAERetentionTwentyDeletion,OAMAERetentionTwentyDeletion,0.920,benchmark_label_noise.csv
ValOAMAEThroughput,OAMAEThroughput,35.6,benchmark_compute.csv
ValOAMAEVRAM,OAMAEVRAM,2.9,benchmark_compute.csv
ValPositiveCoverage,PositiveCoverage,0.570,benchmark_abstention_risk.csv
ValPrimaryCities,PrimaryCities,6,benchmark_primary_comparison.json; benchmark_main_runs.csv
ValPrimaryCityPValue,PrimaryCityPValue,0.031,benchmark_primary_comparison.json; benchmark_main_runs.csv
ValPrimaryDelta,PrimaryDelta,0.027,benchmark_primary_comparison.json; benchmark_main_runs.csv
ValPrimaryDeltaCIHigh,PrimaryDeltaCIHigh,0.030,benchmark_primary_comparison.json; benchmark_main_runs.csv
ValPrimaryDeltaCILow,PrimaryDeltaCILow,0.024,benchmark_primary_comparison.json; benchmark_main_runs.csv
ValPrimaryPositiveCities,PrimaryPositiveCities,6/6,benchmark_primary_comparison.json; benchmark_main_runs.csv
ValPrimaryRuns,PrimaryRuns,60,benchmark_primary_comparison.json; benchmark_main_runs.csv
ValProposalClearRegularEvents,ProposalClearRegularEvents,159,proposal_audit.csv
ValProposalClearRegularPrecision,ProposalClearRegularPrecision,0.880,proposal_audit.csv
ValProposalClearRegularRecall,ProposalClearRegularRecall,0.874,proposal_audit.csv
ValProposalClearRegularRecallHigh,ProposalClearRegularRecallHigh,0.922,proposal_audit.csv
ValProposalClearRegularRecallLow,ProposalClearRegularRecallLow,0.822,proposal_audit.csv
ValProposalClearRegularTiles,ProposalClearRegularTiles,60,proposal_audit.csv
ValProposalHeavyCloudEvents,ProposalHeavyCloudEvents,198,proposal_audit.csv
ValProposalHeavyCloudPrecision,ProposalHeavyCloudPrecision,0.860,proposal_audit.csv
ValProposalHeavyCloudRecall,ProposalHeavyCloudRecall,0.742,proposal_audit.csv
ValProposalHeavyCloudRecallHigh,ProposalHeavyCloudRecallHigh,0.798,proposal_audit.csv
ValProposalHeavyCloudRecallLow,ProposalHeavyCloudRecallLow,0.684,proposal_audit.csv
ValProposalHeavyCloudTiles,ProposalHeavyCloudTiles,60,proposal_audit.csv
ValProposalInformalSmallRoofsEvents,ProposalInformalSmallRoofsEvents,170,proposal_audit.csv
ValProposalInformalSmallRoofsPrecision,ProposalInformalSmallRoofsPrecision,0.812,proposal_audit.csv
ValProposalInformalSmallRoofsRecall,ProposalInformalSmallRoofsRecall,0.612,proposal_audit.csv
ValProposalInformalSmallRoofsRecallHigh,ProposalInformalSmallRoofsRecallHigh,0.679,proposal_audit.csv
ValProposalInformalSmallRoofsRecallLow,ProposalInformalSmallRoofsRecallLow,0.546,proposal_audit.csv
ValProposalInformalSmallRoofsTiles,ProposalInformalSmallRoofsTiles,60,proposal_audit.csv
ValProposalTextureComplexEvents,ProposalTextureComplexEvents,174,proposal_audit.csv
ValProposalTextureComplexPrecision,ProposalTextureComplexPrecision,0.858,proposal_audit.csv
ValProposalTextureComplexRecall,ProposalTextureComplexRecall,0.799,proposal_audit.csv
ValProposalTextureComplexRecallHigh,ProposalTextureComplexRecallHigh,0.855,proposal_audit.csv
ValProposalTextureComplexRecallLow,ProposalTextureComplexRecallLow,0.740,proposal_audit.csv
ValProposalTextureComplexTiles,ProposalTextureComplexTiles,60,proposal_audit.csv
ValTargetDOneTwoZeroAge,TargetD120Age,57,benchmark_target_window.csv
ValTargetDOneTwoZeroAvailability,TargetD120Availability,0.900,benchmark_target_window.csv
ValTargetDOneTwoZeroFallback,TargetD120Fallback,0.100,benchmark_target_window.csv
ValTargetDOneTwoZeroIoU,TargetD120IoU,0.355,benchmark_target_window.csv
ValTargetDThreeZeroAge,TargetD30Age,16,benchmark_target_window.csv
ValTargetDThreeZeroAvailability,TargetD30Availability,0.560,benchmark_target_window.csv
ValTargetDThreeZeroFallback,TargetD30Fallback,0.440,benchmark_target_window.csv
ValTargetDThreeZeroIoU,TargetD30IoU,0.344,benchmark_target_window.csv
ValTargetDSixZeroAge,TargetD60Age,29,benchmark_target_window.csv
ValTargetDSixZeroAvailability,TargetD60Availability,0.740,benchmark_target_window.csv
ValTargetDSixZeroFallback,TargetD60Fallback,0.260,benchmark_target_window.csv
ValTargetDSixZeroIoU,TargetD60IoU,0.354,benchmark_target_window.csv
ValTargetDNineZeroAge,TargetD90Age,43,benchmark_target_window.csv
ValTargetDNineZeroAvailability,TargetD90Availability,0.840,benchmark_target_window.csv
ValTargetDNineZeroFallback,TargetD90Fallback,0.160,benchmark_target_window.csv
ValTargetDNineZeroIoU,TargetD90IoU,0.359,benchmark_target_window.csv
ValTargetUnboundedAge,TargetUnboundedAge,86,benchmark_target_window.csv
ValTargetUnboundedAvailability,TargetUnboundedAvailability,0.970,benchmark_target_window.csv
ValTargetUnboundedFallback,TargetUnboundedFallback,0.030,benchmark_target_window.csv
ValTargetUnboundedIoU,TargetUnboundedIoU,0.342,benchmark_target_window.csv
ValUNetSOneSTwoAUPRCTwentyFive,UNetS1S2AUPRCTwentyFive,0.271,benchmark_main_summary.csv
ValUNetSOneSTwoFOneTwentyFive,UNetS1S2FOneTwentyFive,0.394,benchmark_main_summary.csv
ValUNetSOneSTwoGFLOPs,UNetS1S2GFLOPs,123.0,benchmark_compute.csv
ValUNetSOneSTwoIoUFifty,UNetS1S2IoUFifty,0.265,benchmark_main_summary.csv
ValUNetSOneSTwoIoUTen,UNetS1S2IoUTen,0.227,benchmark_main_summary.csv
ValUNetSOneSTwoIoUTwentyDeletion,UNetS1S2IoUTwentyDeletion,0.196,benchmark_main_summary.csv
ValUNetSOneSTwoIoUTwentyFive,UNetS1S2IoUTwentyFive,0.246,benchmark_main_summary.csv
ValUNetSOneSTwoLatencyMean,UNetS1S2LatencyMean,20.1,benchmark_compute.csv
ValUNetSOneSTwoLatencyPNineFive,UNetS1S2LatencyP95,26.4,benchmark_compute.csv
ValUNetSOneSTwoModelSize,UNetS1S2ModelSize,126,benchmark_compute.csv
ValUNetSOneSTwoParams,UNetS1S2Params,31.4,benchmark_compute.csv
ValUNetSOneSTwoPretrainHours,UNetS1S2PretrainHours,0.0,benchmark_compute.csv
ValUNetSOneSTwoRetentionTwentyDeletion,UNetS1S2RetentionTwentyDeletion,0.797,benchmark_label_noise.csv
ValUNetSOneSTwoThroughput,UNetS1S2Throughput,49.8,benchmark_compute.csv
ValUNetSOneSTwoVRAM,UNetS1S2VRAM,2.3,benchmark_compute.csv
ValUNetSTwoAUPRCTwentyFive,UNetS2AUPRCTwentyFive,0.239,benchmark_main_summary.csv
ValUNetSTwoFOneTwentyFive,UNetS2FOneTwentyFive,0.351,benchmark_main_summary.csv
ValUNetSTwoGFLOPs,UNetS2GFLOPs,116.0,benchmark_compute.csv
ValUNetSTwoIoUFifty,UNetS2IoUFifty,0.232,benchmark_main_summary.csv
ValUNetSTwoIoUTen,UNetS2IoUTen,0.195,benchmark_main_summary.csv
ValUNetSTwoIoUTwentyDeletion,UNetS2IoUTwentyDeletion,0.161,benchmark_main_summary.csv
ValUNetSTwoIoUTwentyFive,UNetS2IoUTwentyFive,0.213,benchmark_main_summary.csv
ValUNetSTwoLatencyMean,UNetS2LatencyMean,18.4,benchmark_compute.csv
ValUNetSTwoLatencyPNineFive,UNetS2LatencyP95,24.1,benchmark_compute.csv
ValUNetSTwoModelSize,UNetS2ModelSize,124,benchmark_compute.csv
ValUNetSTwoParams,UNetS2Params,31.0,benchmark_compute.csv
ValUNetSTwoPretrainHours,UNetS2PretrainHours,0.0,benchmark_compute.csv
ValUNetSTwoRetentionTwentyDeletion,UNetS2RetentionTwentyDeletion,0.752,benchmark_label_noise.csv
ValUNetSTwoThroughput,UNetS2Throughput,54.3,benchmark_compute.csv
ValUNetSTwoVRAM,UNetS2VRAM,2.1,benchmark_compute.csv
ValUnresolvedPositiveMass,UnresolvedPositiveMass,0.430,benchmark_abstention_risk.csv
