sample_id,source_bundle,derived_bundle,sha256,height,width,token_size,v12_matches_source,safety_weight_map_status,native_gate_status
SCN_dak_0068,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_dak_0068.npz,derived_scene_sidecars/SCN_dak_0068_derived.npz,266a8ab9d785ab86ac58ba199975d96d1db47eb751e7cdfc6b68140cdb72bbb9,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_dak_0069,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_dak_0069.npz,derived_scene_sidecars/SCN_dak_0069_derived.npz,12a1a9fa00aa7ac74561e5116f96203356a085bc305d787bd844fec72f500020,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_dar_0058,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_dar_0058.npz,derived_scene_sidecars/SCN_dar_0058_derived.npz,59278782961a4851eac67b09906930104473381ed83e0234dcd247c4ed545bed,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_dar_0059,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_dar_0059.npz,derived_scene_sidecars/SCN_dar_0059_derived.npz,41ae2bdc76672db65afa203eb29d6a3c74732ff1f24e505774474169f5ee14cb,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_dar_0060,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_dar_0060.npz,derived_scene_sidecars/SCN_dar_0060_derived.npz,b05b5f2cd4e7c3a7f698bc77782be92120d5b489aa5dc76bdf4296e83d05b701,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_dar_0061,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_dar_0061.npz,derived_scene_sidecars/SCN_dar_0061_derived.npz,54625893a62612acb4a4e4e1112cba8a54bd26c5d65093c6bd0e7fa978dff4c4,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_dar_0062,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_dar_0062.npz,derived_scene_sidecars/SCN_dar_0062_derived.npz,164c2b8964d91be9cf60448739e6da92d8637abd7056c1d14a7193b2eeea1f43,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_dar_0063,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_dar_0063.npz,derived_scene_sidecars/SCN_dar_0063_derived.npz,afc4aa360d3d4f999669a0068eb133c49693f198f8df14295e06b8d5c96ed6b2,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_dar_0064,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_dar_0064.npz,derived_scene_sidecars/SCN_dar_0064_derived.npz,f09c0fa8d31c107347e880bc184df07985bf09b1980948db15992f24f48b06af,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_dar_0065,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_dar_0065.npz,derived_scene_sidecars/SCN_dar_0065_derived.npz,30831ca714b40e45877c0a77df11a895fc6e720697dd5e9a4a348832fc1aaea5,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
